Column1,asin,ISBN10,title,author,genre,subgenre,currency,final_price,initial_price,domain,format_1_type,format_1_price,format_2_type,format_2_price,format_3_type,format_3_price,rating,reviews_count,overall_best_seller_rank,seller_id,seller_name,timestamp
82,0307987698,9780307987693,Another Monster At The End Of This Book,Jon Stone,Children's Books,Fiction,USD,4.99,NA,www.amazon.com,Kindle ,3.99,Paperback ,24.99,Board book ,4.74,4.9,23181,10088,ATVPDKIKX0DER,Amazon,12/21/2021
83,1501160834,1501160834,Anxious People,Fredrik Backman,Literature & Fiction,Fiction,USD,13.23,28,www.amazon.com,Kindle ,12.99,Audiobook ,0,Paperback ,13.12,4.4,36144,1978,ATVPDKIKX0DER,Jenson Books Inc,12/21/2021
84,1250220254,1250220254,Apples Never Fall,Liane Moriarty,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,18.41,28.99,www.amazon.com,Kindle ,14.99,Audiobook ,0,Paperback ,29.99,4.2,23219,189,ATVPDKIKX0DER,Amazon,12/21/2021
85,0394800184,0394800184,Are You My Mother,P.D. Eastman,Children's Books,Fiction,USD,5,9.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,9.45,4.9,15012,2161,ATVPDKIKX0DER,Amazon,12/21/2021
86,B0002P0FJE,,Art Of War,"Joe Mantegna (Narrator), Sun Tzu (Author), Recorded Books (Publisher) & 0 more",History,Military,USD,9.99,NA,www.amazon.com,Kindle ,1.99,Hardcover ,21.97,Paperback ,4.99,4.5,18898,91255,,Amazon,12/21/2021
87,1338216678,1338216678,Harry Potter and the Cursed Child,J. K. RowlingJack ThorneJohn Tiffany,Children's Books,"Arts, Music & Photography",USD,23.99,29.99,www.amazon.com,Kindle ,0,Paperback ,7.98,Single Issue Magazine ,NA,4.2,35661,4603,ATVPDKIKX0DER,Kamimatech,12/21/2021
88,078583351X,078583351X,As A Man Thinketh,James Allen,Religion & Spirituality,New Age & Spirituality,USD,7.99,NA,www.amazon.com,Kindle ,0,Audiobook ,0,Paperback ,4.99,4.7,14252,27028,ATVPDKIKX0DER,Amazon,12/21/2021
89,1477821031,1477821031,As The Crow Flies,Damien Boyd,"Mystery, Thriller & Suspense",Thrillers & Suspense,USD,11.59,15.95,www.amazon.com,Kindle ,0,Audiobook ,0,Audio CD ,10.58,4.2,10154,829661,ATVPDKIKX0DER,MorseCode Enterprises,12/21/2021
90,1401904599,1401904599,Ask And It Is Given,Esther HicksJerry HicksWayne W. Dyer,Religion & Spirituality,New Age & Spirituality,USD,9.89,15.99,www.amazon.com,Kindle ,9.99,Hardcover ,20,,NA,4.8,10105,1532,ATVPDKIKX0DER,Amazon,12/21/2021
91,0393609391,9780393609394,Astrophysics For People In A Hurry,Neil deGrasse Tyson,History,Americas,USD,9.49,18.95,www.amazon.com,Kindle ,9.02,Audiobook ,0,MP3 CD ,9.97,4.7,17736,1405,ATVPDKIKX0DER,-OnTimeBooks-,12/21/2021
92,1516703839,1516703839,Ati Teas Secrets Study Guide,TEAS Exam Secrets Test Prep Team,"New, Used & Rental Textbooks",Medicine & Health Sciences,USD,9.99,44.99,www.amazon.com,,NA,,NA,,NA,4.7,13719,1912,ATVPDKIKX0DER,Amazon,12/21/2021
93,0525948929,0525948929,Atlas Shrugged,Ayn Rand,Literature & Fiction,Fiction,USD,26.08,40,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,18.93,4.5,12336,6327,ATVPDKIKX0DER,Amazon,12/21/2021
94,0735211299,0735211299,Atomic Habits,James Clear,"Health, Fitness & Dieting",Psychology & Counseling,USD,11.98,27,www.amazon.com,Kindle ,13.99,Audiobook ,0,Paperback ,27,4.8,41331,6,ATVPDKIKX0DER,Amazon,12/21/2021
95,1939754666,9781939754660,Awesome Science Experiments For Kids,Crystal Chatterton,Children's Books,"Science, Nature & How It Works",USD,6.44,14.99,www.amazon.com,Kindle ,0,Spiral-bound ,21.99,,NA,4.7,12531,404,ATVPDKIKX0DER,Amazon,12/21/2021
96,0803731930,0803731930,Baby Signs,Joy Allen,Children's Books,Growing Up & Facts of Life,USD,5.18,6.99,www.amazon.com,Kindle ,6.99,Hardcover ,11.48,Paperback ,NA,4.6,10521,1858,ATVPDKIKX0DER,Amazon,12/21/2021
97,0525431993,0525431993,Bad Blood,John Carreyrou,Business & Money,Finance,USD,12.97,16.95,www.amazon.com,Kindle ,13.99,Audiobook ,0,Hardcover ,14.35,4.7,11868,4124,ATVPDKIKX0DER,Katrina's Bookshelf,12/21/2021
98,0593233921,0593233921,Bad Manners,Bad MannersMichelle DavisMatt Holloway,"Crafts, Hobbies & Home",Home Improvement & Design,USD,17.99,26.99,www.amazon.com,Kindle ,11.99,,NA,,NA,4.6,13865,1484,ATVPDKIKX0DER,Amazon,12/21/2021
99,0778801314,0778801314,Ball Complete Book Of Home Preserving,Judi KingryLauren Devine,"Cookbooks, Food & Wine",Canning & Preserving,USD,15.72,24.95,www.amazon.com,Hardcover ,30,Spiral-bound ,27.66,,NA,4.8,11850,1374,ATVPDKIKX0DER,TheBookKingdom,12/21/2021
100,0425276767,0425276767,Bared To You,Sylvia Day,Literature & Fiction,Women's Fiction,USD,14.99,17,www.amazon.com,Kindle ,3.99,Audiobook ,0,Hardcover ,17,4.4,12795,29693,ATVPDKIKX0DER,-OnTimeBooks-,12/21/2021
101,0593199308,0593199308,Battle Ground,Jim Butcher,"Mystery, Thriller & Suspense",Mystery,USD,13.99,28,www.amazon.com,Kindle ,9.99,Audiobook ,0,Paperback ,7.48,4.8,20253,24329,ATVPDKIKX0DER,Amazon,12/21/2021
102,0446691097,0446691097,Battlefield Of The Mind,Joyce Meyer,Christian Books & Bibles,Christian Living,USD,10.99,16.99,www.amazon.com,Kindle ,9.99,Audiobook ,0,Hardcover ,28,4.8,14403,2257,ATVPDKIKX0DER,AJ's Pop-up Shop,12/21/2021
103,0517543052,9780517543054,Be Here Now,Ram Dass,"Health, Fitness & Dieting",Alternative Medicine,USD,13.29,17.17,www.amazon.com,Kindle Edition with Audio/Video ,0,Spiral-bound ,NA,,NA,4.7,10114,1420,ATVPDKIKX0DER,kichoyproductions,12/21/2021
104,1984806734,1984806734,Beach Read,Emily Henry,Literature & Fiction,Fiction,USD,7.35,16,www.amazon.com,Kindle ,8.99,Audiobook ,0,Hardcover ,42.17,4.4,21619,656,ATVPDKIKX0DER,Clickgoodwill,12/21/2021
